Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Staphylococcus aureus infection	11/95	5.3946840046209855E-6	9.494643848132935E-5	0	0	6.180445059379684	74.9693951863478	HLA-DMA;FCGR3B;DEFA4;HLA-DPB1;DEFA3;HLA-DRA;DEFA1;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Intestinal immune network for IgA production	7/48	6.367936688069456E-5	0.0010507095535314604	0	0	7.998186816400538	77.27568132417294	HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Rheumatoid arthritis	9/93	1.5865828463242277E-4	0.002463869831938801	0	0	5.032358003442341	44.026881444428795	HLA-DMA;CTSL;HLA-DPB1;HLA-DRA;HLA-DOA;CXCL5;HLA-DRB1;HLA-DPA1;HLA-DQB1
Leishmaniasis	8/77	2.2390605518427922E-4	0.003283955476036095	0	0	5.4367335562987735	45.691852788247026	HLA-DMA;FCGR3B;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Inflammatory bowel disease	7/65	4.421383106154256E-4	0.006143395473814334	0	0	5.648970478789383	43.6320141913129	HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Toxoplasmosis	9/112	6.371762857939444E-4	0.008410726972480066	0	0	4.100058486372675	30.170133577124474	HLA-DMA;PDPK1;ALOX5;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Primary immunodeficiency	5/38	0.0011796580571873945	0.01482998700464153	0	0	7.066970420192377	47.64926476357303	ZAP70;LCK;CD3E;CD3D;JAK3
Tuberculosis	10/180	0.005179100320156394	0.062149203841876735	0	0	2.757317419721512	14.512103269975563	HLA-DMA;FCGR3B;ARHGEF12;CLEC7A;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Axon guidance	10/182	0.00559023226927863	0.06416614430824166	0	0	2.7249747219413547	14.133720243391608	PARD6B;ARHGEF12;ABLIM3;PDPK1;TRPC1;LIMK2;PLXNC1;EPHB2;MYL9;SSH1
Transcriptional misregulation in cancer	10/192	0.008042287429711957	0.0830800950423924	0	0	2.5739236608801828	12.414141226445821	RXRB;SMAD1;CCND2;PAX8;FLT3;DEFA4;COMMD3-BMI1;DEFA3;DEFA1;BAIAP3
Insulin resistance	7/108	0.008171519461779023	0.0830800950423924	0	0	3.2368164874041363	15.559701853235644	SREBF1;CPT1A;PDPK1;PPP1R3E;INSR;CD36;CPT1B
Systemic lupus erythematosus	8/135	0.008182130572356828	0.0830800950423924	0	0	2.9450333131435493	14.15324905117388	HLA-DMA;FCGR3B;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
PI3K-Akt signaling pathway	15/354	0.008932204612947995	0.08733711177104707	0	0	2.0811606118960557	9.819107311564444	TNXB;ATF6B;FLT3;ITGA3;PDPK1;INSR;VEGFB;FLT3LG;CCND2;COL6A2;COL4A3;CDK2;GNB4;PIK3AP1;JAK3
Viral carcinogenesis	10/203	0.01161700453755286	0.10953175706835554	0	0	2.425846662161147	10.807839085217704	LYN;CDKN2B;CCND2;IRF3;ATF6B;CDK2;HLA-B;HLA-A;HLA-F;JAK3
Small cell lung cancer	6/92	0.01353976373198802	0.12325853880154612	0	0	3.2530321575609213	13.994949218379357	RXRB;CDKN2B;ITGA3;COL4A3;CDK2;FHIT
Fc epsilon RI signaling pathway	5/68	0.014630644589396542	0.12874967238668958	0	0	3.6960639466606056	15.61452852373863	LYN;PDPK1;PLA2G4B;ALOX5;MS4A2
Human immunodeficiency virus 1 infection	10/212	0.015344087220555146	0.13067222665246964	0	0	2.316688190558186	9.676864666426455	IRF3;GNAQ;LIMK2;HLA-B;GNB4;HLA-A;HLA-F;CD3E;CD3D;APOBEC3A
PPAR signaling pathway	5/74	0.020416911973851933	0.16843952378427846	0	0	3.37362941440974	13.12811351308023	RXRB;CPT1A;PDPK1;CD36;CPT1B
Ovarian steroidogenesis	4/51	0.02274515919645766	0.18196127357166128	0	0	3.9572441742654507	14.971849238464653	PLA2G4B;ALOX5;INSR;CYP1B1
Focal adhesion	9/201	0.027993234462466134	0.21735923229679585	0	0	2.189457831325301	7.829046726673163	TNXB;CCND2;ITGA3;PDPK1;COL6A2;COL4A3;VEGFB;MYL9;DOCK1
B cell receptor signaling pathway	5/81	0.02884489733886679	0.21757293992745236	0	0	3.0618012812460744	10.856602864221621	LYN;LILRB1;LILRB2;PIK3AP1;LILRA4
Influenza A	8/172	0.030598409481526177	0.2243883361978586	0	0	2.276266416510319	7.936902241976963	HLA-DMA;IRF3;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Fructose and mannose metabolism	3/33	0.032265124879428224	0.23021602616673112	0	0	4.6427553444180525	15.942146391752466	HKDC1;ALDOC;GFUS
Glutamatergic synapse	6/114	0.03456287325635239	0.23723300713887227	0	0	2.587453482190324	8.706716799493668	HOMER1;GNAQ;PLA2G4B;TRPC1;GNB4;GRIK4
Pathways in cancer	18/531	0.03504578514551522	0.23723300713887227	0	0	1.647480770892749	5.52087268836554	GSTM3;NOTCH3;CDKN2B;ARHGEF12;DAPK1;FLT3;ITGA3;PLEKHG5;VEGFB;FLT3LG;RXRB;CCND2;PAX8;GNAQ;CDK2;COL4A3;GNB4;JAK3
ECM-receptor interaction	5/88	0.03919682365361012	0.2586990361138268	0	0	2.8025706645196538	9.077973573764044	TNXB;ITGA3;COL6A2;COL4A3;CD36
Sphingolipid signaling pathway	6/119	0.04125801396098078	0.26477663296714493	0	0	2.4723292543506794	7.881562923876579	CERS5;PDPK1;GNAQ;ADORA1;MS4A2;MAP3K5
AMPK signaling pathway	6/120	0.04268843812201586	0.26477663296714493	0	0	2.4505162427600102	7.728504695642467	SREBF1;CPT1A;PDPK1;INSR;CD36;CPT1B
Endocytosis	10/252	0.04312649703631527	0.26477663296714493	0	0	1.9297720285862578	6.066465487401647	ACAP3;PARD6B;ACAP1;GBF1;HLA-B;HLA-A;HLA-F;AP2A2;RAB11FIP4;ARFGAP1
GnRH secretion	4/64	0.04680450151395988	0.2808270090837593	0	0	3.097777777777778	9.484701326481868	CACNA1I;GABBR1;TRPC1;GNAQ
Cellular senescence	7/156	0.048837254735616016	0.28651189444894726	0	0	2.188675904913653	6.608185641286342	CDKN2B;RAD50;CCND2;CDK2;HLA-B;HLA-A;HLA-F
Human papillomavirus infection	12/331	0.05070401436343887	0.29099695199886655	0	0	1.7582554706759594	5.242678588597797	NOTCH3;PARD6B;TNXB;CCND2;IRF3;ITGA3;COL6A2;COL4A3;CDK2;HLA-B;HLA-A;HLA-F
Glycolysis / Gluconeogenesis	4/67	0.05379052632674488	0.3021425308566095	0	0	2.9498110355253213	8.621288579290168	LDHB;HKDC1;ALDOC;ENO2
Fc gamma R-mediated phagocytosis	5/97	0.05545232002968068	0.30498776016324375	0	0	2.527238767251219	7.309360141898744	LYN;FCGR3B;PLA2G4B;LIMK2;DOCK1
Adipocytokine signaling pathway	4/69	0.05874452503208103	0.3130668827870406	0	0	2.8587545787545787	8.103303720847785	RXRB;CPT1A;CD36;CPT1B
FoxO signaling pathway	6/131	0.06047882962931466	0.3130668827870406	0	0	2.2336076555023925	6.266301174078983	CDKN2B;CCND2;HOMER1;PDPK1;INSR;CDK2
Natural killer cell mediated cytotoxicity	6/131	0.06047882962931466	0.3130668827870406	0	0	2.2336076555023925	6.266301174078983	ZAP70;FCGR3B;LCK;HLA-B;HLA-A;MICA
Vascular smooth muscle contraction	6/133	0.06412258199997839	0.3255454163075826	0	0	2.1982066834947065	6.038382938023597	CALCRL;ARHGEF12;NPR2;GNAQ;PLA2G4B;MYL9
Non-small cell lung cancer	4/72	0.06661495212680475	0.32676476644868907	0	0	2.7322128851540617	7.40108990254221	RXRB;PDPK1;JAK3;FHIT
Tight junction	7/169	0.06891225666220048	0.32676476644868907	0	0	2.0116943482251237	5.381123912664195	PARD6B;CLDN15;RAPGEF2;F11R;MYL9;MAP3K5;TJP2
T cell receptor signaling pathway	5/104	0.07041532217007114	0.32676476644868907	0	0	2.3477013572478964	6.229260237476864	ZAP70;PDPK1;LCK;CD3E;CD3D
Autophagy	6/137	0.07178922899251503	0.32676476644868907	0	0	2.1306475766098103	5.612170094371821	DAPK1;CTSL;PDPK1;WDR41;ULK2;CTSB
Insulin signaling pathway	6/137	0.07178922899251503	0.32676476644868907	0	0	2.1306475766098103	5.612170094371821	SOCS2;SREBF1;PDPK1;PPP1R3E;INSR;HKDC1
Yersinia infection	6/137	0.07178922899251503	0.32676476644868907	0	0	2.1306475766098103	5.612170094371821	ZAP70;ARHGEF12;IRF3;LCK;GNAQ;DOCK1
Type II diabetes mellitus	3/46	0.07359710437067103	0.32810299581482083	0	0	3.2369772965806773	8.445758008259999	SOCS2;INSR;HKDC1
Thyroid hormone synthesis	4/75	0.07500374397937326	0.32810299581482083	0	0	2.6163648558014754	6.77695337385478	PAX8;ATF6B;GNAQ;TTF2
Measles	6/139	0.07581167706327299	0.32810299581482083	0	0	2.098391912796345	5.412808123505506	CCND2;IRF3;CDK2;CD3E;CD3D;JAK3
Amino sugar and nucleotide sugar metabolism	3/48	0.08135528440882743	0.34501118686259896	0	0	3.092794932699921	7.75960440852927	HKDC1;NPL;GFUS
HIF-1 signaling pathway	5/109	0.08233221504675657	0.34501118686259896	0	0	2.234257389388654	5.578924644907851	LDHB;INSR;HKDC1;ALDOC;ENO2
Renin-angiotensin system	2/23	0.08470070956228237	0.3493904269444148	0	0	4.413225005642067	10.894625382872945	NLN;MME
NOD-like receptor signaling pathway	7/181	0.09124854430641556	0.3703456969284704	0	0	1.8717991124341906	4.481401985626607	RNF31;IRF3;DEFA4;NAMPT;DEFA3;DEFA1;CTSB
Serotonergic synapse	5/113	0.0925864242321176	0.3703456969284704	0	0	2.1510651462918764	5.118702058182871	GNAQ;PLA2G4B;TRPC1;ALOX5;GNB4
Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.10160929055542302	0.40037093591987577	0	0	11.567375886524824	26.45019658398454	HKDC1
Human cytomegalovirus infection	8/225	0.10701314501263312	0.41546279828434035	0	0	1.7156150301311592	3.834062648091002	ARHGEF12;IRF3;ATF6B;GNAQ;HLA-B;GNB4;HLA-A;HLA-F
Kaposi sarcoma-associated herpesvirus infection	7/193	0.11718193056155787	0.44546519514393024	0	0	1.7499548748098295	3.7519515325349095	LYN;IRF3;HLA-B;GNB4;HLA-A;HLA-F;MICA
Ribosome	6/158	0.12015654121570365	0.44546519514393024	0	0	1.834298665323596	3.8868052727939824	RPS9;RPL18A;RPS18;RPL18;RPL9;RPS12
PD-L1 expression and PD-1 checkpoint pathway in cancer	4/89	0.12058054928372462	0.44546519514393024	0	0	2.1838655462184873	4.619830614093038	ZAP70;LCK;CD3E;CD3D
Ras signaling pathway	8/232	0.12149050776652644	0.44546519514393024	0	0	1.661401098901099	3.502099183286042	ZAP70;FLT3;INSR;PLA2G4B;VEGFB;GNB4;FLT3LG;RGL2
Notch signaling pathway	3/59	0.1296373610257738	0.46882552480553813	0	0	2.483881913810655	5.074606162839833	NOTCH3;TLE2;PSEN2
Osteoclast differentiation	5/127	0.13324332536037675	0.4732399116990269	0	0	1.902852224265425	3.8353476671200912	FCGR3B;LCK;LILRB1;LILRB2;LILRA4
Long-term depression	3/60	0.1344431567326781	0.4732399116990269	0	0	2.4401800225028127	4.8964988973771115	LYN;PLA2G4B;GNAQ
Arachidonic acid metabolism	3/61	0.1393097044850643	0.48391792084285495	0	0	2.397985092964207	4.726562268833527	PLA2G4B;ALOX5;CYP4F3
cGMP-PKG signaling pathway	6/167	0.14481945497201887	0.4965238456183504	0	0	1.7309578293559986	3.3446734718771713	ATF6B;NPR2;INSR;GNAQ;ADORA1;MYL9
Aldosterone synthesis and secretion	4/98	0.15484043637960743	0.5240753231309789	0	0	1.9738601823708206	3.6819600962883254	NR4A2;CACNA1I;ATF6B;GNAQ
Cortisol synthesis and secretion	3/65	0.1593430126470887	0.5270004269872605	0	0	2.242816642402881	4.119372553590282	CACNA1I;ATF6B;GNAQ
Rap1 signaling pathway	7/210	0.15969709908704863	0.5270004269872605	0	0	1.602001157694534	2.9388332984463212	DOCK4;PARD6B;INSR;GNAQ;VEGFB;RAPGEF2;SIPA1L2
Nicotinate and nicotinamide metabolism	2/35	0.16944029047493112	0.5502773435795137	0	0	2.8066925175929915	4.982594035057063	NAPRT;NAMPT
MAPK signaling pathway	9/294	0.17411684144678813	0.5502773435795137	0	0	1.4679264426125556	2.5659775549288883	CACNA1I;FLT3;INSR;PLA2G4B;VEGFB;MAP3K20;FLT3LG;RAPGEF2;MAP3K5
Protein digestion and absorption	4/103	0.17527923488058708	0.5502773435795137	0	0	1.8736892736892736	3.2627955630961925	COL17A1;MME;COL6A2;COL4A3
Mucin type O-glycan biosynthesis	2/36	0.1770355696181978	0.5502773435795137	0	0	2.724003345413995	4.716351945282085	GCNT1;POC1B-GALNT4
Renin secretion	3/69	0.18018728846885948	0.5502773435795137	0	0	2.106456488879292	3.6099576653741137	GNAQ;ADORA1;CTSB
Apoptosis	5/142	0.18407162549984263	0.5502773435795137	0	0	1.6932041879344286	2.8656301193224283	CTSL;PDPK1;MAP3K5;BOK;CTSB
Aldosterone-regulated sodium reabsorption	2/37	0.18468272045659942	0.5502773435795137	0	0	2.646039268788084	4.469467135355744	PDPK1;INSR
Thyroid cancer	2/37	0.18468272045659942	0.5502773435795137	0	0	2.646039268788084	4.469467135355744	RXRB;PAX8
Central carbon metabolism in cancer	3/70	0.18551016507036638	0.5502773435795137	0	0	2.0749104832133867	3.495488816381294	LDHB;FLT3;HKDC1
Parathyroid hormone synthesis, secretion and action	4/106	0.18796220768471364	0.5513558092084933	0	0	1.8183006535947712	3.039315652033075	NR4A2;RXRB;ATF6B;GNAQ
Glucagon signaling pathway	4/107	0.19225417571277287	0.5577483778920004	0	0	1.8005547850208043	2.9690013166180504	LDHB;CPT1A;GNAQ;CPT1B
Homologous recombination	2/41	0.21568129607999684	0.6189115452730344	0	0	2.3741645400413174	3.6418578680784846	RAD50;XRCC3
Gastric acid secretion	3/76	0.21823743152081307	0.6195127088332758	0	0	1.9037842059024501	2.8978863905941195	KCNK10;GNAQ;SLC4A2
Coronavirus disease	7/232	0.2233697176094302	0.6273362281796763	0	0	1.4437196909139356	2.164030358536975	RPS9;RPL18A;IRF3;RPS18;RPL18;RPL9;RPS12
Fat digestion and absorption	2/43	0.23135615683675845	0.6331273668201418	0	0	2.258120448503063	3.305429828260263	CD36;AGPAT1
Fatty acid degradation	2/43	0.23135615683675845	0.6331273668201418	0	0	2.258120448503063	3.305429828260263	CPT1A;CPT1B
Cushing syndrome	5/155	0.23293057139197562	0.6331273668201418	0	0	1.545425616547335	2.25170806774726	CACNA1I;CDKN2B;ATF6B;GNAQ;CDK2
RNA degradation	3/79	0.23502455283474963	0.6331273668201418	0	0	1.828353544193024	2.6475753054645894	CNOT6;ENO2;EXOSC3
Vasopressin-regulated water reabsorption	2/44	0.23922122802626078	0.6379232747366954	0	0	2.204242834574588	3.1528751413149703	NSF;AQP3
Non-homologous end-joining	1/13	0.24319315706263403	0.6420299346453539	0	0	3.854215918045705	5.449473058933139	RAD50
Thyroid hormone signaling pathway	4/121	0.25512107423751124	0.6668511247396334	0	0	1.583964183964184	2.1637220748747215	RXRB;NOTCH3;PDPK1;PLCD1
Other types of O-glycan biosynthesis	2/47	0.26287668458889585	0.6766541141290358	0	0	2.056977356503423	2.748266223493496	POMT1;POC1B-GALNT4
Shigellosis	7/246	0.2678535234088995	0.6766541141290358	0	0	1.358167022867062	1.7891337948940254	CAST;RNF31;IRF3;HKDC1;MYL9;DOCK1;PLCD1
Cell cycle	4/124	0.26912379539223014	0.6766541141290358	0	0	1.5441269841269842	2.026796063463324	CDKN2B;CCND2;CDK2;PKMYT1
Platelet activation	4/124	0.26912379539223014	0.6766541141290358	0	0	1.5441269841269842	2.026796063463324	LYN;ARHGEF12;GNAQ;PLA2G4B
Thiamine metabolism	1/15	0.2749627967433104	0.6848130032097542	0	0	3.303275920297197	4.264923872116905	ALPL
GABAergic synapse	3/89	0.2922943703410422	0.7155961728195345	0	0	1.6149257029221675	1.986348710120635	NSF;GABBR1;GNB4
Relaxin signaling pathway	4/129	0.2927438888807186	0.7155961728195345	0	0	1.4819809523809524	1.8205500994813033	ATF6B;COL4A3;GNB4;VEGFB
Morphine addiction	3/91	0.30389269155993415	0.7245404338569681	0	0	1.5780608939753833	1.8795977609034968	GABBR1;ADORA1;GNB4
Phenylalanine metabolism	1/17	0.30540180530604316	0.7245404338569681	0	0	2.8900709219858154	3.4279910800321587	MIF
Lipid and atherosclerosis	6/215	0.30574456112364046	0.7245404338569681	0	0	1.3301206474210756	1.5762000078045828	LYN;RXRB;IRF3;PDPK1;CD36;MAP3K5
Endocrine and other factor-regulated calcium reabsorption	2/53	0.31012526146150526	0.7245404338569681	0	0	1.814422451445033	2.1242876921874756	GNAQ;AP2A2
Glycosaminoglycan biosynthesis	2/53	0.31012526146150526	0.7245404338569681	0	0	1.814422451445033	2.1242876921874756	NDST1;CHST15
Regulation of actin cytoskeleton	6/218	0.31687280426270975	0.7338107046083805	0	0	1.3110950618398483	1.5067823376649685	ARHGEF12;ITGA3;LIMK2;MYL9;DOCK1;SSH1
Fatty acid biosynthesis	1/18	0.32013979129858144	0.7349296078506565	0	0	2.7199276873870115	3.097990919808182	HSD17B8
Regulation of lipolysis in adipocytes	2/55	0.3257607574082569	0.7413865513429295	0	0	1.745774836805866	1.9580471606161607	INSR;ADORA1
Glycosaminoglycan degradation	1/19	0.33456578801325715	0.7501446340115683	0	0	2.5686892566325192	2.8125137182954205	IDUA
Circadian entrainment	3/97	0.33876168258962025	0.7501446340115683	0	0	1.476878758781018	1.5986598478110912	CACNA1I;GNAQ;GNB4
Glycerophospholipid metabolism	3/98	0.34456972101269684	0.7501446340115683	0	0	1.461257657207151	1.5569098676454434	GPD2;PLA2G4B;AGPAT1
One carbon pool by folate	1/20	0.3486863847142679	0.7501446340115683	0	0	2.433370660694289	2.5637564324223114	MTHFD2
AGE-RAGE signaling pathway in diabetic complications	3/100	0.3561713146662769	0.7501446340115683	0	0	1.430981707765017	1.477264582931217	COL4A3;VEGFB;PLCD1
Progesterone-mediated oocyte maturation	3/100	0.3561713146662769	0.7501446340115683	0	0	1.430981707765017	1.477264582931217	CDK2;PKMYT1;CPEB4
Signaling pathways regulating pluripotency of stem cells	4/143	0.35992171615174545	0.7501446340115683	0	0	1.3317574511819117	1.3608812903968646	SMAD1;PCGF3;COMMD3-BMI1;JAK3
Spinocerebellar ataxia	4/143	0.35992171615174545	0.7501446340115683	0	0	1.3317574511819117	1.3608812903968646	PSMB3;GNAQ;ULK2;MAP3K5
Herpes simplex virus 1 infection	12/498	0.3668007764206895	0.7501446340115683	0	0	1.1440728754644611	1.1474323560663466	HLA-DMA;IRF3;ZNF417;HLA-DPB1;HLA-B;HLA-DRA;HLA-A;HLA-DOA;HLA-F;HLA-DRB1;HLA-DPA1;HLA-DQB1
Chagas disease	3/102	0.3677455847770084	0.7501446340115683	0	0	1.4019290290074138	1.4024392268949974	GNAQ;CD3E;CD3D
Longevity regulating pathway	3/102	0.3677455847770084	0.7501446340115683	0	0	1.4019290290074138	1.4024392268949974	ATF6B;EHMT2;INSR
Pancreatic secretion	3/102	0.3677455847770084	0.7501446340115683	0	0	1.4019290290074138	1.4024392268949974	GNAQ;TRPC1;SLC4A2
Steroid hormone biosynthesis	2/61	0.37202351304760356	0.7501446340115683	0	0	1.5677564463009077	1.5501947828519265	CYP1B1;HSD17B8
Arginine biosynthesis	1/22	0.37603704365765206	0.7501446340115683	0	0	2.20139592480018	2.1531140730208316	GPT2
Terpenoid backbone biosynthesis	1/22	0.37603704365765206	0.7501446340115683	0	0	2.20139592480018	2.1531140730208316	ICMT
NF-kappa B signaling pathway	3/104	0.3792833086922934	0.7501446340115683	0	0	1.3740269513887255	1.3320804323925555	LYN;ZAP70;LCK
Alzheimer disease	9/369	0.38219625175199234	0.7501446340115683	0	0	1.1575903614457832	1.1133947818435719	BACE1;MME;PSMB3;INSR;GNAQ;PSEN2;ULK2;APBB1;MAP3K5
Phospholipase D signaling pathway	4/148	0.38398322168620685	0.7501446340115683	0	0	1.2851851851851852	1.2301232520127872	INSR;PLA2G4B;MS4A2;AGPAT1
Chemokine signaling pathway	5/192	0.38509912958050135	0.7501446340115683	0	0	1.2372851071433129	1.1806848793030216	LYN;GNAQ;GNB4;JAK3;CXCL5
Cytosolic DNA-sensing pathway	2/63	0.38717054223938474	0.7501446340115683	0	0	1.516199207520783	1.4387062742134973	IRF3;POLR2H
Mannose type O-glycan biosynthesis	1/23	0.3892796017408517	0.7501446340115683	0	0	2.101225016118633	1.9824163388787615	POMT1
Vitamin digestion and absorption	1/24	0.40224175710942606	0.7695059701223803	0	0	2.0097646212354814	1.8302966305021924	CUBN
Oxytocin signaling pathway	4/154	0.41270705343621195	0.7824383602363716	0	0	1.2333968253968255	1.0915774683189923	NPR2;GNAQ;PLA2G4B;MYL9
alpha-Linolenic acid metabolism	1/25	0.4149294334586819	0.7824383602363716	0	0	1.9259259259259258	1.6941346029466489	PLA2G4B
TNF signaling pathway	3/112	0.42489974804467495	0.7889509465812481	0	0	1.2726579354529408	1.089270503879213	ATF6B;CXCL5;MAP3K5
Folate biosynthesis	1/26	0.427348429398176	0.7889509465812481	0	0	1.8487943262411348	1.571762858185888	ALPL
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/26	0.427348429398176	0.7889509465812481	0	0	1.8487943262411348	1.571762858185888	PGAP1
Leukocyte transendothelial migration	3/114	0.43613177075827453	0.79348952821334	0	0	1.2495987674134943	1.0369306213250875	CLDN15;F11R;MYL9
Epithelial cell signaling in Helicobacter pylori infection	2/70	0.4388237542391956	0.79348952821334	0	0	1.359632004460552	1.1198709855434394	LYN;F11R
Prolactin signaling pathway	2/70	0.4388237542391956	0.79348952821334	0	0	1.359632004460552	1.1198709855434394	SOCS2;CCND2
Hepatitis B	4/162	0.450527157582889	0.8002197714860931	0	0	1.1704641350210971	0.9332542690294156	IRF3;ATF6B;CDK2;JAK3
JAK-STAT signaling pathway	4/162	0.450527157582889	0.8002197714860931	0	0	1.1704641350210971	0.9332542690294156	SOCS2;CCND2;IL11RA;JAK3
Inositol phosphate metabolism	2/73	0.46022850151020245	0.8002197714860931	0	0	1.301982511180829	1.010380314002081	ISYNA1;PLCD1
p53 signaling pathway	2/73	0.46022850151020245	0.8002197714860931	0	0	1.301982511180829	1.010380314002081	CCND2;CDK2
Linoleic acid metabolism	1/29	0.46304950478729145	0.8002197714860931	0	0	1.6504559270516717	1.27072118751331	PLA2G4B
Growth hormone synthesis, secretion and action	3/119	0.46383620352825233	0.8002197714860931	0	0	1.1954296011139323	0.9183574692651045	SOCS2;ATF6B;GNAQ
Neurotrophin signaling pathway	3/119	0.46383620352825233	0.8002197714860931	0	0	1.1954296011139323	0.9183574692651045	PDPK1;PSEN2;MAP3K5
Wnt signaling pathway	4/166	0.46915060426380695	0.8002197714860931	0	0	1.1413286302175192	0.863793395571259	TLE2;CCND2;DAAM1;SENP2
