Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Diabetic cardiomyopathy	64/203	6.915500438719023E-10	1.9677742157445948E-8	0	0	2.7255751498067537	57.48806436191911	GSK3B;NDUFA13;NDUFA11;COX4I1;NDUFA10;ATP2A2;COX6A1;MPC2;PDK4;UQCRFS1;CD36;RAC1;CTSD;COX8A;NDUFC2;CYBA;SDHC;NDUFC1;SDHA;CPT1B;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS3;NDUFS2;SLC25A6;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;ATP5MC1;PTPA;ATP5F1A;ATP5PD;TGFB1;NOS3;NDUFA2;NDUFA1;ND4L;COX6C;ATP5F1D;ATP5F1E;MAPK12;MTOR;PPP1CA;MAPK10;UQCRQ;NDUFAB1;ATP5PO
Non-alcoholic fatty liver disease	52/155	2.4443776127933584E-9	6.375751606702676E-8	0	0	2.9823836928348637	59.13910377672185	GSK3B;NDUFA13;NDUFA11;COX4I1;NDUFA10;COX6A1;CASP8;UQCRFS1;RAC1;COX8A;NDUFC2;SDHC;NDUFC1;SDHA;TNFRSF1A;ERN1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS3;NDUFS2;CEBPA;NDUFB9;NDUFB8;PRKAA1;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;XBP1;TGFB1;NDUFA2;EIF2AK3;NDUFA1;COX6C;MAPK12;MAPK10;ITCH;UQCRQ;NDUFAB1;BAX
Endocytosis	71/252	1.7806652637232978E-8	4.2872940580414784E-7	0	0	2.3219790388211563	41.432682760032016	WASHC4;ARPC1B;ARPC5L;CLTB;SNX12;CLTA;WASHC2C;CBLB;ARRB2;EEA1;CAPZB;CHMP1A;PSD3;HRAS;PSD;SH3GLB2;USP8;ARAP2;HLA-C;HLA-A;RBSN;EPN1;RUFY1;AGAP9;ACAP2;RABEP1;AGAP6;BIN1;AGAP5;TRAF6;RUFY2;RAB35;CHMP3;CHMP4A;CHMP6;VPS28;ARF5;ARF6;VPS4A;AGAP1;AGAP4;ASAP1;CBL;IL2RG;ACTR3B;CYTH3;CYTH2;ACTR3C;GRK3;PARD6A;CXCR2;AP2S1;PIP5K1A;RAB11FIP2;LDLR;RAB11FIP5;GIT2;ARFGEF2;RAB4A;SMURF2;SMURF1;GBF1;ARPC4;SNF8;STAM;HSPA2;RAB11B;EHD1;ITCH;CHMP2A;SMAP2
Proteasome	20/46	2.2478377242987E-6	5.025522912182094E-5	0	0	4.514497550642129	58.713486669667006	PSMD13;ADRM1;PSMA7;PSMB10;PSMB6;SEM1;PSMD9;PSMB4;PSMC5;PSMB5;PSMD4;PSMC3;PSMB3;PSMA2;PSMC1;PSME3;PSMB1;PSMD3;PSME1;PSME2
Protein processing in endoplasmic reticulum	47/171	8.960149446731788E-6	1.8696845178846997E-4	0	0	2.2324446860499	25.947087653873535	PRKN;VCP;HSP90AB1;UBXN1;ATF6B;RPN1;UBE2J2;HSPBP1;RNF5;SEC61G;LMAN2;BAG1;CAPN1;SEC61B;SIL1;UBXN6;MARCHF6;SKP1;PDIA3;BCAP31;XBP1;HSP90AA1;SEC13;SEC24B;SEC24A;SSR4;WFS1;EDEM1;EIF2AK1;SSR2;AMFR;EIF2AK3;SYVN1;MOGS;HSPA2;PDIA6;CKAP4;RBX1;ERN1;MAPK10;NSFL1C;NPLOC4;ERP29;BAX;PREB;STUB1;MAN1B1
Salmonella infection	62/249	1.2412193547257816E-5	2.4281353626823103E-4	0	0	1.955721252715356	22.09345290126441	HSP90AB1;ARPC1B;TRADD;ARPC5L;GCC2;PIK3C2A;ACTB;TXN2;PIK3C2B;PYCARD;FYCO1;ACTR1A;TUBB6;TUBA1A;CASP8;TUBB1;RAC1;HRAS;VPS39;SKP1;VPS18;HSP90AA1;MAP2K2;TUBB;RHOH;IRAK4;DYNLL1;DYNLL2;TIRAP;TNFRSF1A;DYNC1LI2;TRAF6;PFN1;TLR5;MYL9;NAIP;ARF6;TLR2;DCTN2;ROCK2;DCTN3;LY96;TXN;ACTR3B;STX10;CYTH3;CYTH2;ACTR3C;RRAS;RPS3;CD14;RILP;S100A10;GSDMD;TNFRSF10B;ARPC4;MAPK12;MAPK10;TAB3;BAX;PKN1;TUBA8
Spliceosome	42/150	1.6109732263793023E-5	2.966085999157186E-4	0	0	2.288684626353721	25.25812260661536	TCERG1;SF3B5;RBM25;SF3B2;RBM8A;SF3B6;EIF4A3;DDX42;U2AF1;PQBP1;SNRPD2;ZMAT2;PUF60;MAGOH;SNRPB2;TXNL4A;HNRNPA1;CTNNBL1;AQR;PRPF38B;CCDC12;ALYREF;BUD31;THOC3;THOC2;HSPA2;LSM5;MAGOHB;LSM4;HNRNPM;LSM7;PRPF6;LSM6;PHF5A;PPIE;SNRPE;SNRPF;HNRNPC;SNRPC;SNRPA;SNRPB;SRSF9
Shigellosis	58/246	1.2019746765398983E-4	0.0020901004097610455	0	0	1.8171674743411825	16.402434341345607	GSK3B;ARPC1B;TRADD;ARPC5L;ILK;ACTB;HK1;PYCARD;HK3;CAPNS1;RAC1;CAPN1;H3-3A;SKP1;H3-3B;GABARAPL2;ATG14;RBX1;TNFRSF1A;CTTN;IRF3;TRAF6;TRAF5;HCLS1;RBCK1;PFN1;TLR5;MYL9;UBA52;SQSTM1;NAIP;ARF6;ROCK1;ROCK2;ITPR1;ITPR2;ITPR3;U2AF1;ACTR3B;GABARAP;MALT1;CYTH3;CYTH2;ACTR3C;UBB;H3C10;CD14;RPS27A;ATG5;ARPC4;MAPK12;MTOR;MAPK10;TAB3;BAX;ATM;BCL2L1;NFKBIB
Spinocerebellar ataxia	36/143	6.125226817162629E-4	0.010090505230378435	0	0	1.976067778845314	14.618800402464593	PSMD13;KCNC3;ITPR1;ITPR2;ATP2A2;RORA;ITPR3;PSMA7;PSMB6;PSMD9;PSMB4;PSMB5;KAT5;PSMD4;ATG101;PSMB3;RB1CC1;PSMD3;PSMB1;NOP56;XBP1;ADRM1;ATG14;ATG13;MTOR;ERN1;SEM1;MAPK10;PSMC5;PSMC3;PSMA2;PSMC1;ULK2;ATXN10;ATG2B;SLC25A6
Ubiquitin mediated proteolysis	35/140	8.278781556040187E-4	0.012956293135202893	0	0	1.9573241061130335	13.890433488349556	PRKN;KEAP1;CBLB;UBE2L6;UBE3A;UBE3B;UBE2J2;CBL;ANAPC11;HERC1;UBB;CDC26;ELOB;RPS27A;SKP1;UBE2H;MAP3K1;SMURF2;SMURF1;HUWE1;SYVN1;UBE4A;WWP2;PIAS1;RBX1;ITCH;CDC34;UBE2R2;UBE2S;TRAF6;BIRC6;STUB1;SAE1;UBA52;UBE2M
Apoptosis	35/142	0.001085460021566425	0.01589193771635693	0	0	1.9205122400801993	13.108939109206359	TRADD;CTSZ;PRF1;ITPR1;ITPR2;ITPR3;CTSW;ACTB;LMNB2;BBC3;LMNB1;CTSO;CASP8;TUBA1A;CASP10;LMNA;CAPN1;CTSD;HRAS;ENDOG;MAP2K2;APAF1;PDPK1;BAD;EIF2AK3;TNFRSF10B;PTPN13;TNFRSF1A;ERN1;MAPK10;BAX;ATM;BIRC6;BCL2L1;TUBA8
Autophagy	34/137	0.001117005206900487	0.01589193771635693	0	0	1.9378788540263892	13.171964298970442	PRKAA1;MTMR3;STX17;ITPR1;TANK;GABARAP;PPP2CA;STK11;RRAS;ATG101;RB1CC1;CTSD;HRAS;ATG5;IGBP1;GABARAPL2;UVRAG;MAP2K2;PDPK1;BAD;DAPK3;EIF2AK3;TSC1;ATG14;ATG13;MTOR;ERN1;VAMP8;MAPK10;TRAF6;ULK2;SQSTM1;ATG2B;BCL2L1
Mitophagy	20/68	0.0013106460105321944	0.01783618266506856	0	0	2.4421973608720595	16.209438107009642	PRKN;GABARAPL2;USP8;FIS1;EIF2AK3;MITF;GABARAP;MAPK10;PINK1;RRAS;UBB;CSNK2B;E2F1;TOMM7;RPS27A;HRAS;SQSTM1;UBA52;ATG5;BCL2L1
Insulin signaling pathway	33/137	0.002220373480328275	0.028957370805947916	0	0	1.8620431694861155	11.377232473663662	GSK3B;PRKAA1;CBLB;CBL;ACACB;HK1;SOCS2;HK3;PRKAR2B;PRKAR2A;MKNK2;EIF4EBP1;FLOT1;FLOT2;PPARGC1A;HRAS;PCK2;MAP2K2;PDPK1;BAD;RPS6;TSC1;BRAF;PHKA2;MTOR;PPP1CA;MAPK10;PRKAR1B;CALM3;GRB2;SOS1;FBP1;SOS2
Neurotrophin signaling pathway	29/119	0.003310413426933932	0.04144637610521283	0	0	1.8898288827501535	10.792212152310224	YWHAE;BEX3;GSK3B;PRDM4;RPS6KA3;ARHGDIA;RAC1;HRAS;SH2B3;MAP2K2;MAP3K1;PDPK1;BAD;KIDINS220;MATK;GAB1;BRAF;IRAK3;IRAK4;MAPK12;MAPK10;TRAF6;BAX;CALM3;GRB2;NFKBIE;SOS1;SOS2;NFKBIB
Phagosome	34/152	0.006701873580537447	0.07920106963796562	0	0	1.6900433255749872	8.45928903866952	ITGB5;CORO1A;ACTB;EEA1;MRC2;TUBB6;HLA-DMA;TUBA1A;HLA-DMB;SEC61G;TUBB1;ATP6V0A2;CD14;CD36;RAC1;SEC61B;ATP6V1E1;HLA-DOA;ATP6V0E2;RILP;HLA-DPA1;ATP6V0B;TUBB;HLA-C;CYBA;HLA-A;MARCO;DYNC1LI2;PIKFYVE;HLA-DPB1;ATP6V0D1;ATP6V0C;TUBA8;TLR2
Tuberculosis	39/180	0.006832041150878823	0.07920106963796562	0	0	1.6229633889208357	8.092309362531186	CIITA;CEBPB;TRADD;LSP1;CORO1A;MALT1;EEA1;MRC2;HLA-DMA;CASP8;HLA-DMB;CASP10;ATP6V0A2;EP300;CD14;HLA-DOA;CTSD;HLA-DPA1;CREBBP;ATP6V0B;TGFB1;APAF1;KSR1;BAD;SPHK1;RFXANK;IRAK4;TIRAP;MAPK12;TNFRSF1A;MAPK10;CREB1;TRAF6;HLA-DPB1;BAX;CALM3;ATP6V0D1;ATP6V0C;TLR2
Viral carcinogenesis	43/203	0.0071105402852539995	0.0794856824744465	0	0	1.5773442921582235	7.801824135560916	YWHAE;SP100;GTF2A2;HDAC2;ATF6B;YWHAB;TRADD;UBE3A;HDAC9;CASP8;EP300;RAC1;HRAS;YWHAH;GTF2H2C_2;CREBBP;GSN;H2BC5;BAD;MRPS18B;HLA-C;GTF2H1;HLA-A;GTF2H2;SND1;H2BC12;KAT2B;CREB3;DLG1;CREB1;PKM;IRF3;CDK4;PSMC1;H2BC11;RASA2;TRAF5;REL;IRF7;BAX;GRB2;ATP6V0D1;MAD1L1
Antigen processing and presentation	20/78	0.0074231236452453365	0.07969746239909435	0	0	2.0199418363107604	9.9040885889565	PDIA3;CIITA;HSP90AA1;HSP90AB1;KLRC4;HLA-C;RFXANK;HLA-A;HSPA2;IFI30;HLA-DMA;CREB1;HLA-DMB;PSME3;PSME1;HLA-DPB1;PSME2;HLA-DOA;B2M;HLA-DPA1
Lysine degradation	17/63	0.0076387344152486596	0.07969746239909435	0	0	2.1641423957897254	10.54916262364544	KMT2E;GCDH;SETD2;ECHS1;KMT2A;EHMT2;SETD7;KMT2B;SETDB2;EHMT1;PRDM2;ASH1L;ACAT1;NSD3;HADHA;NSD2;EZH2
Pathogenic Escherichia coli infection	41/197	0.011355370816612198	0.11465261501934253	0	0	1.5418378142892706	6.904449099635879	ROCK1;ROCK2;ARPC1B;TRADD;ARPC5L;ACTR3B;ACTB;PYCARD;CYTH3;CYTH2;ACTR3C;TUBB6;TUBA1A;CASP8;TUBB1;RPS3;RAC1;SEC24B;SEC24A;MYO10;TUBB;MYO5A;TNFRSF10B;ARPC4;IRAK4;TIRAP;MAPK12;TNFRSF1A;MAPK10;CLDN5;CTTN;TRAF6;HCLS1;TAB3;BAX;EZR;TLR5;NAIP;ARF6;NFKBIB;TUBA8
Homologous recombination	12/41	0.012016759519695247	0.11753892905201914	0	0	2.421392805142228	10.70607442660992	BABAM1;RAD52;SEM1;POLD4;BRIP1;RAD50;MRE11;RPA3;POLD2;RPA2;ATM;TOPBP1
mTOR signaling pathway	33/154	0.014188560401826646	0.13457634562944668	0	0	1.5988306299509618	6.803534748413662	PRR5;GSK3B;PRKAA1;RPS6KA3;FLCN;STK11;EIF4EBP1;RICTOR;ATP6V1E1;FNIP1;HRAS;FNIP2;WNT10A;SEC13;MAP2K2;WDR59;WNT5B;PDPK1;RPS6;TSC1;BRAF;MTOR;TNFRSF1A;TTI1;CLIP1;ULK2;GRB2;LAMTOR2;LAMTOR1;SOS1;LAMTOR4;LPIN1;SOS2
Legionellosis	15/57	0.014905054623176869	0.13721417932512822	0	0	2.090451644575356	8.792554355919885	VCP;APAF1;RAB1B;HSPA2;CLK4;PYCARD;EEF1A1;EEF1G;CLK1;CASP8;EEF1A2;CD14;TLR5;NAIP;TLR2
Fructose and mannose metabolism	10/33	0.016415542899845724	0.14680185507576318	0	0	2.5433663957043775	10.45203199702713	HK3;TKFC;TPI1;GMDS;PMM1;AKR1B1;ALDOA;FBP1;HK1;KHK
Renal cell carcinoma	17/69	0.01912903531190379	0.1626964084831017	0	0	1.9137591260184108	7.571879698663736	CREBBP;EGLN3;MAP2K2;EGLN2;TGFB1;BAD;GAB1;BRAF;RBX1;FLCN;EP300;ELOB;GRB2;RAC1;SOS1;HRAS;SOS2
Sulfur relay system	4/8	0.019532068274706237	0.1626964084831017	0	0	5.84423142759329	23.001127821168456	MPST;CTU1;TST;URM1
NOD-like receptor signaling pathway	37/181	0.020307903784675695	0.1626964084831017	0	0	1.5063457025238536	5.86984526490934	YWHAE;HSP90AB1;ITPR1;ITPR2;ITPR3;TXN;TANK;GABARAP;TXN2;PYCARD;CASP8;DHX33;TRPM7;TP53BP1;DNM1L;ATG5;GBP3;GSDMD;GABARAPL2;HSP90AA1;CYBA;IRAK4;MAPK12;MAPK10;P2RX7;IRF3;TRAF6;TRAF5;IRF7;TAB3;PKN2;RBCK1;PKN1;SUGT1;NAIP;BCL2L1;NFKBIB
Platelet activation	27/124	0.020331912715376668	0.1626964084831017	0	0	1.6307229301402317	6.3525848432902485	ROCK1;ROCK2;ITGA2B;ITPR1;ITPR2;ITPR3;RASGRP1;ACTB;ARHGAP35;MYLK3;MYLK;PIK3R5;PTGS1;VASP;P2RY12;PTGIR;PPP1R12A;GP1BB;NOS3;PLA2G4B;MAPK12;PPP1CA;VAMP8;GP9;TBXAS1;FERMT3;F2RL3
